id,cuisines[0],cuisines[1],cuisines[2],cuisines[3],cuisines[4]
698,Italian,Korean,South Indian,,
699,Chinese,North Indian,Japanese,Fast Food,South Indian
700,North Indian,Fast Food,Italian,Beverages,Mexican
701,Korean,,,,
702,Beverages,Japanese,North Indian,,
703,Chinese,Korean,Cold Drinks,Beverages,
704,Japanese,South Indian,Italian,Beverages,Cold Drinks
705,Fast Food,Beverages,Mexican,Italian,Chinese
706,Korean,Beverages,,,
707,South Indian,Cold Drinks,Korean,Japanese,Mexican
708,Beverages,Italian,Korean,,
709,North Indian,Korean,Fast Food,Mexican,South Indian
710,Italian,Beverages,North Indian,Fast Food,Japanese
711,Japanese,Chinese,North Indian,Cold Drinks,Beverages
712,Mexican,,,,
713,Italian,Beverages,Mexican,,
714,Beverages,Cold Drinks,Italian,South Indian,Fast Food
715,Japanese,Chinese,Beverages,South Indian,Fast Food
716,Mexican,Chinese,South Indian,,
717,Mexican,Cold Drinks,South Indian,Korean,
718,Mexican,,,,
719,Fast Food,Chinese,South Indian,Cold Drinks,Beverages
720,Beverages,Mexican,,,
721,Italian,Fast Food,Japanese,Chinese,
722,Italian,Fast Food,,,
723,Mexican,North Indian,,,
724,Italian,Chinese,,,
725,Mexican,South Indian,Italian,Fast Food,
726,Fast Food,,,,
727,North Indian,Korean,Cold Drinks,,
728,Beverages,Chinese,Korean,Cold Drinks,
729,Chinese,North Indian,Japanese,Korean,Fast Food
730,Mexican,North Indian,,,
731,South Indian,Chinese,Japanese,,
732,Fast Food,Mexican,North Indian,Italian,
733,Korean,Fast Food,,,
734,Mexican,Cold Drinks,Korean,,
735,South Indian,,,,
736,Italian,South Indian,Mexican,Cold Drinks,
737,North Indian,Italian,,,
738,Chinese,North Indian,Beverages,Korean,Cold Drinks
739,Italian,Fast Food,South Indian,,
740,Beverages,North Indian,Chinese,,
741,Beverages,,,,
742,Italian,South Indian,Japanese,Cold Drinks,Chinese
743,Cold Drinks,Japanese,North Indian,Chinese,Beverages
744,Fast Food,North Indian,,,
745,Mexican,Chinese,North Indian,Italian,
746,Mexican,South Indian,,,
747,Chinese,,,,
748,Mexican,Cold Drinks,Chinese,Italian,
749,North Indian,Korean,Mexican,Beverages,Fast Food
750,Fast Food,Korean,Cold Drinks,Mexican,Italian
751,North Indian,South Indian,Mexican,Japanese,Fast Food
752,Mexican,,,,
753,Japanese,Beverages,Fast Food,Mexican,
754,Beverages,,,,
755,North Indian,Fast Food,Mexican,Cold Drinks,
756,Beverages,Japanese,North Indian,Korean,
757,Cold Drinks,,,,
758,Mexican,North Indian,Japanese,,
759,Cold Drinks,Beverages,Korean,,
760,Beverages,Chinese,North Indian,Cold Drinks,Japanese
761,Korean,Chinese,Beverages,,
762,Italian,Mexican,South Indian,Fast Food,Beverages
763,North Indian,Beverages,,,
764,Mexican,,,,
765,Chinese,Cold Drinks,Fast Food,Italian,Beverages
766,Italian,Japanese,,,
767,Korean,Italian,,,
768,North Indian,Mexican,Italian,Chinese,Beverages
769,Korean,Beverages,,,
770,North Indian,South Indian,Mexican,Fast Food,
771,Fast Food,,,,
772,Fast Food,Chinese,Cold Drinks,Korean,North Indian
773,Beverages,North Indian,Italian,Chinese,
774,Beverages,Chinese,South Indian,,
775,North Indian,South Indian,,,
776,Beverages,Mexican,Korean,North Indian,
777,Japanese,,,,
778,Japanese,Mexican,Fast Food,South Indian,Italian
779,Mexican,Chinese,South Indian,,
780,Chinese,Mexican,Korean,South Indian,Japanese
781,Cold Drinks,Beverages,,,
782,Cold Drinks,,,,
783,Chinese,Fast Food,,,
784,Japanese,Cold Drinks,Fast Food,,
785,Beverages,South Indian,Korean,,
786,Korean,Beverages,Italian,Mexican,
787,Beverages,Japanese,,,
788,North Indian,Japanese,Italian,Fast Food,Mexican
789,Cold Drinks,Beverages,North Indian,Japanese,South Indian
790,Mexican,Chinese,Fast Food,Japanese,
791,Japanese,Mexican,,,
792,Italian,North Indian,,,
793,Cold Drinks,Chinese,Beverages,Fast Food,Korean
794,Mexican,Korean,Japanese,South Indian,
795,Cold Drinks,South Indian,North Indian,Beverages,
796,Beverages,Italian,,,
797,Cold Drinks,South Indian,Beverages,Chinese,Korean
798,Fast Food,Mexican,South Indian,Beverages,
799,Korean,Mexican,Beverages,Chinese,
800,Fast Food,South Indian,Chinese,Italian,Mexican
801,Mexican,Cold Drinks,,,
802,Beverages,Korean,Japanese,,
803,Japanese,,,,
804,South Indian,,,,
805,South Indian,Korean,Fast Food,Japanese,North Indian
806,Japanese,Beverages,Italian,Korean,
807,Japanese,Beverages,North Indian,Cold Drinks,
808,Chinese,South Indian,Mexican,,
809,Beverages,Fast Food,Cold Drinks,,
810,North Indian,Mexican,Italian,,
811,North Indian,Chinese,Mexican,,
812,Italian,Cold Drinks,Mexican,Korean,
813,Italian,Cold Drinks,Fast Food,Korean,
814,North Indian,Cold Drinks,,,
815,North Indian,Fast Food,Beverages,Korean,Chinese
816,Italian,,,,
817,Italian,South Indian,Beverages,Korean,
818,Italian,Cold Drinks,,,
819,North Indian,Beverages,,,
820,South Indian,Chinese,Beverages,Cold Drinks,
821,Fast Food,Mexican,North Indian,Italian,Japanese
822,Italian,South Indian,Cold Drinks,Beverages,Korean
823,Japanese,Cold Drinks,,,
824,North Indian,Cold Drinks,Mexican,South Indian,
825,Japanese,Italian,Chinese,,
826,Chinese,,,,
827,Chinese,,,,
828,South Indian,,,,
829,Mexican,Chinese,Japanese,Fast Food,Italian
830,Beverages,,,,
831,Fast Food,Korean,Cold Drinks,North Indian,South Indian
832,Italian,Beverages,,,
833,Korean,Mexican,Italian,Fast Food,Japanese
834,Italian,,,,
835,Cold Drinks,North Indian,Japanese,Mexican,
836,Cold Drinks,Mexican,North Indian,Fast Food,
837,Italian,,,,
838,South Indian,Beverages,North Indian,Italian,Fast Food
839,Italian,South Indian,North Indian,Fast Food,Chinese
840,Cold Drinks,South Indian,,,
841,South Indian,Mexican,Cold Drinks,Italian,Beverages
842,Japanese,,,,
843,Beverages,,,,
844,Chinese,Fast Food,Beverages,,
845,Fast Food,,,,
846,Mexican,Beverages,,,
847,Korean,,,,
848,South Indian,,,,
849,Italian,Mexican,,,
850,Mexican,Chinese,Italian,North Indian,
851,South Indian,Beverages,Japanese,Korean,
852,Korean,Cold Drinks,,,
853,Chinese,,,,
854,Chinese,Mexican,Italian,Fast Food,
855,North Indian,Cold Drinks,Beverages,,
856,Beverages,Japanese,Korean,South Indian,Cold Drinks
857,South Indian,,,,
858,Beverages,Mexican,North Indian,,
859,Fast Food,Italian,Korean,,
860,Italian,Beverages,Korean,,
861,South Indian,,,,
862,Cold Drinks,Korean,Chinese,Italian,Fast Food
863,South Indian,,,,
864,Japanese,South Indian,Cold Drinks,Fast Food,North Indian
865,Mexican,North Indian,South Indian,,
866,North Indian,Chinese,South Indian,,
867,South Indian,Mexican,Chinese,North Indian,
868,Italian,Fast Food,Japanese,,
869,Fast Food,Korean,,,
870,Beverages,,,,
871,Japanese,Mexican,,,
872,Cold Drinks,Italian,Japanese,,
873,Korean,,,,
874,North Indian,,,,
875,Mexican,,,,
876,Japanese,,,,
877,South Indian,Japanese,Mexican,Korean,
878,South Indian,,,,
879,Mexican,Beverages,Chinese,South Indian,
880,Chinese,Italian,Fast Food,Korean,Beverages
881,South Indian,Korean,,,
882,North Indian,Cold Drinks,Fast Food,,
883,Italian,Beverages,Chinese,,
884,Chinese,,,,
885,Korean,,,,
886,South Indian,North Indian,,,
887,Fast Food,Korean,Italian,North Indian,
888,Japanese,Korean,,,
889,Korean,Chinese,Italian,Fast Food,North Indian
890,Italian,,,,
891,Chinese,,,,
892,Beverages,,,,
893,Mexican,Chinese,Japanese,North Indian,Cold Drinks
894,Korean,Japanese,Mexican,North Indian,Beverages
895,Japanese,,,,
896,South Indian,Japanese,North Indian,,
897,Mexican,Beverages,South Indian,,
898,Beverages,Chinese,Japanese,Italian,
899,Mexican,North Indian,,,
900,Cold Drinks,Italian,Chinese,,
901,Mexican,North Indian,Fast Food,Korean,Cold Drinks
902,Beverages,Korean,Italian,Mexican,
903,South Indian,Italian,Fast Food,,
904,South Indian,Beverages,Fast Food,,
905,Beverages,Japanese,Korean,South Indian,Cold Drinks
906,Fast Food,North Indian,Beverages,South Indian,
907,Korean,Cold Drinks,Japanese,Beverages,South Indian
908,Japanese,Beverages,Chinese,South Indian,
909,Cold Drinks,South Indian,Japanese,,
910,South Indian,Japanese,North Indian,Italian,
911,Korean,Fast Food,Japanese,Italian,Cold Drinks
912,South Indian,,,,
913,North Indian,South Indian,Korean,Fast Food,Cold Drinks
914,Cold Drinks,North Indian,Chinese,,
915,Japanese,Cold Drinks,Korean,Italian,
916,North Indian,Cold Drinks,Chinese,Fast Food,
917,South Indian,,,,
918,South Indian,Beverages,Cold Drinks,Chinese,Fast Food
919,Beverages,South Indian,Mexican,Korean,Chinese
920,Fast Food,South Indian,Beverages,Cold Drinks,
921,Fast Food,Chinese,,,
922,Chinese,Japanese,North Indian,Cold Drinks,Fast Food
923,Beverages,Mexican,,,
924,Chinese,,,,
925,Italian,North Indian,Mexican,Cold Drinks,Fast Food
926,Cold Drinks,Italian,South Indian,Chinese,Japanese
927,North Indian,Korean,Italian,,
928,Cold Drinks,Italian,,,
929,Fast Food,,,,
930,Italian,,,,
931,Beverages,Italian,Japanese,Cold Drinks,Chinese
932,Cold Drinks,,,,
933,Mexican,Fast Food,Cold Drinks,Chinese,
934,South Indian,,,,
935,South Indian,Cold Drinks,Chinese,Fast Food,Beverages
936,Cold Drinks,Beverages,,,
937,Chinese,Beverages,Fast Food,,
938,Mexican,Fast Food,Korean,,
939,Mexican,,,,
940,South Indian,Japanese,North Indian,Chinese,
941,Cold Drinks,Italian,Beverages,Chinese,
942,Fast Food,Japanese,,,
943,Japanese,Korean,Chinese,South Indian,Fast Food
944,South Indian,Korean,Cold Drinks,Fast Food,Chinese
945,Japanese,Fast Food,Chinese,Mexican,
946,Beverages,Cold Drinks,Mexican,Chinese,
947,Mexican,Korean,South Indian,Beverages,Japanese
948,Italian,Korean,Cold Drinks,,
949,Chinese,Beverages,Italian,Fast Food,Japanese
950,South Indian,Chinese,Cold Drinks,,
951,Beverages,Mexican,Fast Food,Chinese,
952,North Indian,Japanese,Chinese,Mexican,
953,Mexican,,,,
954,Beverages,Italian,Mexican,,
955,Korean,,,,
956,South Indian,Italian,Japanese,Mexican,
957,Italian,Japanese,North Indian,,
958,North Indian,,,,
959,Beverages,Korean,North Indian,Cold Drinks,South Indian
960,North Indian,Mexican,Japanese,Italian,
961,North Indian,Italian,Japanese,Cold Drinks,
962,South Indian,Italian,Fast Food,,
963,Japanese,Beverages,Cold Drinks,Chinese,North Indian
964,Korean,North Indian,South Indian,Beverages,
965,Chinese,North Indian,Cold Drinks,Korean,
966,Beverages,,,,
967,Japanese,Korean,Mexican,Chinese,Beverages
968,Beverages,,,,
969,Mexican,North Indian,,,
970,Mexican,Italian,Chinese,Japanese,
971,Beverages,Japanese,,,
972,North Indian,Cold Drinks,Beverages,Japanese,Chinese
973,Korean,North Indian,,,
974,South Indian,,,,
975,Mexican,Cold Drinks,Italian,South Indian,Korean
976,Korean,Fast Food,North Indian,Cold Drinks,
977,Fast Food,Italian,Beverages,Cold Drinks,Japanese
978,South Indian,,,,
979,Cold Drinks,Italian,Beverages,,
980,Chinese,Italian,,,
981,Beverages,Fast Food,,,
982,South Indian,Italian,,,
983,Cold Drinks,Japanese,Chinese,North Indian,Mexican
984,North Indian,Italian,Japanese,,
985,Cold Drinks,South Indian,North Indian,Mexican,
986,Japanese,Mexican,,,
987,Fast Food,,,,
988,Korean,Japanese,Cold Drinks,Italian,
989,Mexican,Beverages,Japanese,Chinese,Cold Drinks
990,Fast Food,Mexican,Korean,Italian,
991,Cold Drinks,Italian,,,
992,Fast Food,South Indian,Italian,Japanese,Mexican
993,Beverages,South Indian,Cold Drinks,Japanese,Fast Food
994,Beverages,,,,
995,Japanese,,,,
996,Beverages,Italian,,,
997,Cold Drinks,Japanese,,,
998,Korean,Beverages,Fast Food,North Indian,Italian
999,Mexican,,,,
1000,South Indian,,,,
1001,Japanese,,,,
1002,South Indian,,,,
1003,South Indian,Beverages,North Indian,,
1004,Cold Drinks,Japanese,Mexican,Korean,
1005,Fast Food,Chinese,Beverages,Cold Drinks,Korean
1006,Korean,Chinese,,,
1007,North Indian,Beverages,Fast Food,Korean,Italian
1008,Cold Drinks,South Indian,Italian,Japanese,Mexican
1009,Beverages,North Indian,,,
1010,Chinese,Mexican,Japanese,Cold Drinks,South Indian
1011,Cold Drinks,Mexican,,,
1012,South Indian,Fast Food,Mexican,Chinese,
1013,Cold Drinks,Japanese,South Indian,Beverages,North Indian
1014,Cold Drinks,Beverages,,,
1015,Korean,Mexican,Beverages,Fast Food,Cold Drinks
1016,Korean,North Indian,,,
1017,South Indian,North Indian,Japanese,,
1018,Italian,,,,
1019,Italian,Japanese,Cold Drinks,Korean,Beverages
1020,Cold Drinks,Beverages,Japanese,South Indian,
1021,Beverages,Cold Drinks,,,
1022,South Indian,Japanese,,,
1023,South Indian,Japanese,Fast Food,Chinese,
1024,Korean,Italian,Cold Drinks,,
1025,South Indian,Italian,,,
1026,Italian,,,,
1027,Korean,Fast Food,South Indian,Italian,Cold Drinks
1028,Beverages,Chinese,Italian,Cold Drinks,
1029,Fast Food,Chinese,,,
1030,Italian,Korean,North Indian,Chinese,South Indian
1031,Japanese,Chinese,,,
1032,Chinese,Cold Drinks,Mexican,Beverages,
1033,Chinese,,,,
1034,Italian,,,,
1035,Cold Drinks,Korean,Italian,,
1036,Mexican,,,,
1037,Japanese,Beverages,,,
1038,North Indian,,,,
1039,Korean,North Indian,Fast Food,Mexican,Cold Drinks
1040,North Indian,,,,
1041,South Indian,North Indian,,,
1042,North Indian,South Indian,Chinese,Mexican,Italian
1043,Italian,Japanese,Beverages,Fast Food,
1044,Italian,Fast Food,,,
1045,Korean,Fast Food,,,
1046,North Indian,Japanese,South Indian,Beverages,Cold Drinks
1047,North Indian,Italian,Chinese,,
1048,South Indian,Italian,Japanese,,
1049,South Indian,Beverages,,,
1050,Beverages,Korean,North Indian,,
1051,South Indian,Fast Food,,,
1052,Fast Food,North Indian,,,
1053,Japanese,,,,
1054,Chinese,Korean,North Indian,Mexican,
1055,North Indian,Cold Drinks,Fast Food,South Indian,Korean
1056,Cold Drinks,,,,
1057,Mexican,Chinese,,,
1058,South Indian,Italian,Cold Drinks,Japanese,Mexican
1059,North Indian,Mexican,,,
1060,Chinese,Japanese,Korean,,
1061,South Indian,Italian,Fast Food,North Indian,Japanese
1062,Cold Drinks,Italian,Chinese,North Indian,
1063,South Indian,Korean,Chinese,Mexican,
1064,Chinese,North Indian,Beverages,,
1065,Beverages,Korean,Fast Food,North Indian,
1066,Korean,North Indian,Fast Food,Chinese,Japanese
1067,Fast Food,South Indian,Korean,Cold Drinks,
1068,Mexican,Cold Drinks,,,
1069,Japanese,South Indian,,,
1070,Fast Food,Cold Drinks,Italian,,
1071,Italian,Mexican,,,
1072,Fast Food,Korean,Japanese,Beverages,
1073,South Indian,Beverages,,,
1074,North Indian,,,,
1075,Cold Drinks,,,,
1076,South Indian,Fast Food,Beverages,,
1077,South Indian,Italian,Japanese,Fast Food,North Indian
1078,Italian,South Indian,Beverages,Japanese,
1079,Chinese,Cold Drinks,Fast Food,,
1080,Fast Food,Chinese,Mexican,Japanese,
1081,Japanese,Korean,Italian,Fast Food,
1082,North Indian,Mexican,,,
1083,Cold Drinks,Italian,South Indian,,
1084,Chinese,Mexican,,,
1085,Mexican,South Indian,Chinese,,
1086,South Indian,Cold Drinks,Italian,Japanese,
1087,Cold Drinks,Chinese,Korean,,
1088,South Indian,Korean,Fast Food,North Indian,Italian
1089,Fast Food,Mexican,Italian,North Indian,South Indian
1090,Mexican,Italian,,,
1091,Beverages,Korean,Chinese,,
1092,Cold Drinks,Japanese,South Indian,North Indian,
1093,Cold Drinks,Japanese,Chinese,,
1094,Fast Food,Italian,,,
1095,Korean,,,,
1096,Chinese,Cold Drinks,,,
1097,Japanese,Chinese,Beverages,Italian,Mexican
1098,North Indian,South Indian,Cold Drinks,Fast Food,
1099,Fast Food,Italian,Japanese,South Indian,
1100,South Indian,Mexican,,,
1101,Beverages,,,,
1102,South Indian,Fast Food,,,
1103,South Indian,Fast Food,Cold Drinks,Beverages,
1104,North Indian,Beverages,Cold Drinks,South Indian,Mexican
1105,Fast Food,Mexican,South Indian,,
1106,South Indian,Italian,,,
1107,Japanese,Korean,Italian,,
1108,Fast Food,Beverages,South Indian,Japanese,
1109,Cold Drinks,Fast Food,,,
1110,Chinese,Italian,Fast Food,,
1111,South Indian,Italian,Fast Food,North Indian,
1112,South Indian,Cold Drinks,,,
1113,South Indian,Italian,Beverages,Fast Food,Japanese
1114,North Indian,South Indian,Korean,Beverages,
1115,Italian,North Indian,,,
1116,Italian,Chinese,Beverages,Korean,
1117,Cold Drinks,North Indian,Chinese,Beverages,Japanese
1118,North Indian,Chinese,Fast Food,Korean,
1119,South Indian,Chinese,Korean,Cold Drinks,
1120,North Indian,,,,
1121,Italian,Beverages,Japanese,South Indian,North Indian
1122,Chinese,,,,
1123,Italian,,,,
1124,Cold Drinks,,,,
1125,North Indian,Chinese,Italian,Korean,
1126,Chinese,Korean,,,
1127,Japanese,Korean,,,
1128,North Indian,Mexican,Cold Drinks,Fast Food,
1129,North Indian,Korean,Japanese,Italian,Cold Drinks
1130,Chinese,Italian,Mexican,Cold Drinks,
1131,Mexican,Japanese,South Indian,,
1132,Korean,Fast Food,Cold Drinks,Japanese,
1133,Mexican,Chinese,,,
1134,Italian,Cold Drinks,South Indian,Beverages,
1135,North Indian,,,,
1136,Beverages,Italian,,,
1137,Cold Drinks,Fast Food,Chinese,South Indian,Japanese
1138,Chinese,North Indian,,,
1139,Cold Drinks,Beverages,North Indian,,
1140,Korean,Fast Food,South Indian,,
1141,Italian,Japanese,,,
1142,Beverages,North Indian,Japanese,Mexican,
1143,Fast Food,North Indian,South Indian,,
1144,Chinese,Korean,Fast Food,,
1145,Italian,Korean,,,
1146,Beverages,Cold Drinks,Japanese,Fast Food,South Indian
1147,Italian,Chinese,Mexican,,
1148,Korean,Cold Drinks,Fast Food,,
1149,Italian,Fast Food,Chinese,South Indian,Beverages
1150,Fast Food,,,,
1151,Korean,,,,
1152,Japanese,Italian,Mexican,,
1153,South Indian,Chinese,,,
1154,Chinese,Fast Food,North Indian,,
1155,Korean,North Indian,Fast Food,Italian,South Indian
1156,Italian,Japanese,Beverages,,
1157,Mexican,,,,
1158,North Indian,,,,
1159,Korean,North Indian,South Indian,Italian,Japanese
1160,Cold Drinks,Japanese,Beverages,Chinese,North Indian
1161,Cold Drinks,Fast Food,Korean,,
1162,Mexican,Japanese,,,
1163,North Indian,Mexican,,,
1164,Italian,Korean,North Indian,,
1165,South Indian,Chinese,,,
1166,Mexican,Fast Food,Japanese,Korean,Italian
1167,Korean,,,,
1168,Mexican,Fast Food,Korean,,
1169,South Indian,Mexican,Beverages,North Indian,
1170,Chinese,Cold Drinks,Mexican,Italian,
1171,Mexican,Chinese,Japanese,Fast Food,Italian
1172,Beverages,Japanese,Fast Food,,
1173,North Indian,Italian,Cold Drinks,Korean,South Indian
1174,Japanese,Italian,Beverages,Cold Drinks,Chinese
1175,Mexican,,,,
1176,Cold Drinks,,,,
1177,South Indian,,,,
1178,Japanese,Korean,,,
1179,Japanese,Italian,Mexican,Korean,Fast Food
1180,Chinese,,,,
1181,Fast Food,Italian,North Indian,,
1182,South Indian,Beverages,,,
1183,Chinese,,,,
1184,Cold Drinks,Beverages,Korean,,
1185,North Indian,Korean,Japanese,Chinese,Mexican
1186,Cold Drinks,Fast Food,Chinese,North Indian,Italian
1187,Mexican,,,,
1188,North Indian,Mexican,,,
1189,Fast Food,,,,
1190,Korean,North Indian,Mexican,South Indian,Beverages
1191,Chinese,South Indian,Italian,Beverages,Mexican
1192,Japanese,,,,
1193,Cold Drinks,Japanese,,,
1194,Cold Drinks,Korean,Chinese,Fast Food,Italian
1195,North Indian,Italian,Mexican,,
1196,Korean,Fast Food,,,
1197,South Indian,Fast Food,Japanese,Korean,Chinese
1198,South Indian,,,,
1199,Fast Food,Korean,Mexican,Italian,
1200,Cold Drinks,Beverages,South Indian,,
1201,Chinese,,,,
1202,South Indian,Italian,Mexican,North Indian,
1203,Japanese,,,,
1204,Cold Drinks,South Indian,Fast Food,,
1205,South Indian,Beverages,Chinese,Italian,Mexican
1206,North Indian,Italian,South Indian,Fast Food,Japanese
1207,Beverages,Cold Drinks,Japanese,,
1208,Beverages,North Indian,South Indian,Cold Drinks,Mexican
1209,Chinese,South Indian,Japanese,Fast Food,Cold Drinks
1210,Mexican,Japanese,Cold Drinks,South Indian,Chinese
1211,North Indian,,,,
1212,Japanese,North Indian,Fast Food,,
1213,Beverages,Korean,South Indian,,
1214,Cold Drinks,Fast Food,,,
1215,Japanese,,,,
1216,Italian,Cold Drinks,North Indian,,
1217,Fast Food,Beverages,North Indian,,
1218,Chinese,Beverages,,,
1219,Fast Food,South Indian,Cold Drinks,Mexican,Chinese
1220,North Indian,,,,
1221,Cold Drinks,Korean,North Indian,Fast Food,
1222,Italian,Japanese,Korean,,
1223,Japanese,Beverages,Cold Drinks,,
1224,Italian,,,,
1225,North Indian,Chinese,,,
1226,Japanese,,,,
1227,Japanese,Beverages,,,
1228,Chinese,North Indian,South Indian,Beverages,Japanese
1229,Fast Food,Japanese,Beverages,South Indian,Mexican
1230,Beverages,,,,
1231,Beverages,,,,
1232,Chinese,Japanese,South Indian,Fast Food,Mexican
1233,South Indian,Italian,,,
1234,Japanese,Fast Food,Korean,South Indian,Mexican
1235,Mexican,,,,
1236,North Indian,,,,
1237,Japanese,North Indian,Italian,Korean,
1238,Chinese,South Indian,Italian,North Indian,
1239,Cold Drinks,Mexican,North Indian,Fast Food,
1240,Fast Food,,,,
1241,South Indian,Cold Drinks,Mexican,,
